period,stateid,stateDescription,sectorid,sectorName,sales,sales-units,sector
2018-12-01,OH,Ohio,RES,residential,4781.77164,million kilowatt hours,RES
2018-11-01,OH,Ohio,RES,residential,4115.42113,million kilowatt hours,RES
2018-10-01,OH,Ohio,RES,residential,3772.1246,million kilowatt hours,RES
2018-09-01,OH,Ohio,RES,residential,4536.70912,million kilowatt hours,RES
2018-08-01,OH,Ohio,RES,residential,5243.75376,million kilowatt hours,RES
2018-07-01,OH,Ohio,RES,residential,5473.55409,million kilowatt hours,RES
2018-06-01,OH,Ohio,RES,residential,4580.01301,million kilowatt hours,RES
2018-05-01,OH,Ohio,RES,residential,3783.85647,million kilowatt hours,RES
2018-04-01,OH,Ohio,RES,residential,3739.00742,million kilowatt hours,RES
2018-03-01,OH,Ohio,RES,residential,4257.23526,million kilowatt hours,RES
2018-02-01,OH,Ohio,RES,residential,4379.08707,million kilowatt hours,RES
2018-01-01,OH,Ohio,RES,residential,5789.18043,million kilowatt hours,RES
2017-12-01,OH,Ohio,RES,residential,5150.35097,million kilowatt hours,RES
2017-11-01,OH,Ohio,RES,residential,3803.93619,million kilowatt hours,RES
2017-10-01,OH,Ohio,RES,residential,3380.88679,million kilowatt hours,RES
2017-09-01,OH,Ohio,RES,residential,3779.41009,million kilowatt hours,RES
2017-08-01,OH,Ohio,RES,residential,4708.31534,million kilowatt hours,RES
2017-07-01,OH,Ohio,RES,residential,5211.80031,million kilowatt hours,RES
2017-06-01,OH,Ohio,RES,residential,4225.28641,million kilowatt hours,RES
2017-05-01,OH,Ohio,RES,residential,3304.98583,million kilowatt hours,RES
2017-04-01,OH,Ohio,RES,residential,3233.37225,million kilowatt hours,RES
2017-03-01,OH,Ohio,RES,residential,4117.80294,million kilowatt hours,RES
2017-02-01,OH,Ohio,RES,residential,3878.06131,million kilowatt hours,RES
2017-01-01,OH,Ohio,RES,residential,5001.33159,million kilowatt hours,RES
2016-12-01,OH,Ohio,RES,residential,5008.67456,million kilowatt hours,RES
2016-11-01,OH,Ohio,RES,residential,3470.67133,million kilowatt hours,RES
2016-10-01,OH,Ohio,RES,residential,3244.31217,million kilowatt hours,RES
2016-09-01,OH,Ohio,RES,residential,4484.56736,million kilowatt hours,RES
2016-08-01,OH,Ohio,RES,residential,5917.35261,million kilowatt hours,RES
2016-07-01,OH,Ohio,RES,residential,5600.66858,million kilowatt hours,RES
2016-06-01,OH,Ohio,RES,residential,4367.01257,million kilowatt hours,RES
2016-05-01,OH,Ohio,RES,residential,3373.84497,million kilowatt hours,RES
2016-04-01,OH,Ohio,RES,residential,3350.44869,million kilowatt hours,RES
2016-03-01,OH,Ohio,RES,residential,3863.28946,million kilowatt hours,RES
2016-02-01,OH,Ohio,RES,residential,4610.99576,million kilowatt hours,RES
2016-01-01,OH,Ohio,RES,residential,5232.30297,million kilowatt hours,RES
2015-12-01,OH,Ohio,RES,residential,4182.52106,million kilowatt hours,RES
2015-11-01,OH,Ohio,RES,residential,3467.46115,million kilowatt hours,RES
2015-10-01,OH,Ohio,RES,residential,3208.182,million kilowatt hours,RES
2015-09-01,OH,Ohio,RES,residential,4148.20013,million kilowatt hours,RES
2015-08-01,OH,Ohio,RES,residential,4896.65087,million kilowatt hours,RES
2015-07-01,OH,Ohio,RES,residential,4894.48076,million kilowatt hours,RES
2015-06-01,OH,Ohio,RES,residential,4196.41135,million kilowatt hours,RES
2015-05-01,OH,Ohio,RES,residential,3535.54008,million kilowatt hours,RES
2015-04-01,OH,Ohio,RES,residential,3271.53774,million kilowatt hours,RES
2015-03-01,OH,Ohio,RES,residential,4673.67084,million kilowatt hours,RES
2015-02-01,OH,Ohio,RES,residential,5410.86864,million kilowatt hours,RES
2015-01-01,OH,Ohio,RES,residential,5607.42936,million kilowatt hours,RES
2014-12-01,OH,Ohio,RES,residential,5012.08787,million kilowatt hours,RES
2014-11-01,OH,Ohio,RES,residential,4094.60202,million kilowatt hours,RES
2014-10-01,OH,Ohio,RES,residential,3313.90539,million kilowatt hours,RES
2014-09-01,OH,Ohio,RES,residential,3807.8886,million kilowatt hours,RES
2014-08-01,OH,Ohio,RES,residential,4585.37369,million kilowatt hours,RES
2014-07-01,OH,Ohio,RES,residential,4631.92873,million kilowatt hours,RES
2014-06-01,OH,Ohio,RES,residential,4250.83578,million kilowatt hours,RES
2014-05-01,OH,Ohio,RES,residential,3438.60205,million kilowatt hours,RES
2014-04-01,OH,Ohio,RES,residential,3399.03887,million kilowatt hours,RES
2014-03-01,OH,Ohio,RES,residential,4835.28194,million kilowatt hours,RES
2014-02-01,OH,Ohio,RES,residential,5374.86746,million kilowatt hours,RES
2014-01-01,OH,Ohio,RES,residential,6059.92163,million kilowatt hours,RES
2013-12-01,OH,Ohio,RES,residential,5201.13978,million kilowatt hours,RES
